year,country_code,country_name,SE.XPD.TOTL.GD.ZS,SE.XPD.CUR.TOTL.ZS,UIS.XSPENDP.FDPUB.FNS,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,UIS.PTRHC.56,UIS.TRTP.0,SE.PRM.TCAQ.ZS,UIS.TRTP.2,SE.SEC.TCAQ.ZS,UIS.TRTP.4,UIS.THDUR.0,SE.PRM.DURS,SE.SEC.DURS.LO,SE.SEC.DURS.UP,UIS.THDUR.4.A.GPV,SE.COM.DURS,IT.NET.USER.P2,IT.CMP.PCMP.P2,SP.URB.TOTL.IN.ZS,NY.GDP.PCAP.KD,IT.CEL.SETS.P2
1971,MAR,Morocco,,,,34.287628173828104,20.359670639038104,25.962900161743196,,,,,,2.0,5.0,4.0,3.0,,,,,35.012,1188.5976939585296,
1971,PRT,Portugal,,,,,,17.4607906341553,,,,,,3.0,6.0,3.0,2.0,,,,,39.196999999999996,10983.81132440812,
1971,NLD,Netherlands,6.410009860992429,,,29.697130203247102,14.5125198364258,,,,,,,2.0,6.0,3.0,3.0,,,,,61.913000000000004,29743.408882731874,
1971,CIV,Cote d'Ivoire,,,,45.019248962402294,21.2607498168945,19.913639068603498,,,,,,2.0,6.0,4.0,3.0,,,,,28.934,2070.5637658280975,
1971,NGA,Nigeria,,,,33.3893890380859,,,,,,,,3.0,6.0,5.0,2.0,,,,,18.151,1061.9221154657887,
1971,PAK,Pakistan,1.6542899608612098,,,41.467620849609396,19.8066806793213,33.434139251709,,,,,,2.0,5.0,3.0,4.0,,,,,25.084,462.63907988467673,
1971,BWA,Botswana,4.3872399330139205,,,32.6297798156738,14.785710334777802,,,,,,,3.0,7.0,2.0,3.0,,,,,8.998,1093.0298133355022,
1971,KIR,Kiribati,4.2664299011230495,,,,11.7894697189331,,,,,,,3.0,7.0,3.0,3.0,,,,,25.348000000000003,2150.9020960711205,
1971,CHL,Chile,,,,,,,,,,,,1.0,6.0,2.0,4.0,,,,,75.883,4351.364124838154,
1971,ITA,Italy,2.90836000442505,,,21.620470046997102,11.513059616088901,,,,,,,3.0,5.0,3.0,5.0,,,,,64.75,21042.60052451269,
1971,JPN,Japan,3.71648001670837,,,26.3925895690918,18.2451190948486,11.974980354309098,,,,,,3.0,6.0,3.0,3.0,,,,,72.666,21469.50433432315,
1971,NOR,Norway,,,,19.562120437622102,9.62497043609619,9.77861976623535,,,,,,4.0,6.0,3.0,3.0,,,,,66.23,35002.347693586365,
1971,SMR,San Marino,,,,18.415729522705103,12.0133304595947,,,,,,,3.0,5.0,3.0,5.0,,,,,62.281000000000006,27371.76997695271,
1971,THA,Thailand,3.07423996925354,,,34.673019409179695,15.5291595458984,12.0303802490234,,,,,,3.0,7.0,3.0,2.0,,,,,21.441999999999997,865.4209488378219,
1971,MLT,Malta,6.15196990966797,,,25.507329940795803,14.6738901138306,8.37979030609131,,,,,,1.0,6.0,5.0,2.0,,,,,89.708,4215.054005590385,
1971,BEL,Belgium,,,,19.7614898681641,,,,,,,,3.0,6.0,3.0,3.0,,,,,93.976,24539.698385495012,
1971,FIN,Finland,5.32742023468018,,,22.24827003479,15.8058395385742,9.53709983825684,,,,,,2.0,6.0,3.0,3.0,,,,,64.523,22110.629640917028,
1971,LUX,Luxembourg,2.76561999320984,,,19.7314300537109,11.323229789733901,,,,,,,2.0,6.0,3.0,4.0,,,,,74.916,38382.682566814125,
1971,SGP,Singapore,3.11150002479553,,,29.9152507781982,19.696310043335,9.46716022491455,,,,,,2.0,6.0,4.0,2.0,,,,,100.0,7321.79979748599,
1971,ESP,Spain,1.8944300413131698,,,30.7890090942383,25.4849796295166,,,,,,,3.0,5.0,3.0,4.0,,,,,66.848,16363.482763579124,
1971,GTM,Guatemala,2.0255401134491,,,36.2862586975098,14.6115198135376,,,,,,,2.0,6.0,3.0,3.0,,,,,35.861,2148.0293298924053,
1971,IRQ,Iraq,,,,22.0558204650879,23.6495895385742,23.2881393432617,,,,,,2.0,6.0,3.0,3.0,,,,,57.214,981.276327778152,
1971,RWA,Rwanda,,,,59.652530670165994,13.683580398559599,5.94791984558105,,,,,,3.0,6.0,3.0,3.0,,,,,3.3360000000000003,301.28318301593816,
1971,VEN,"Venezuela, RB",3.71158003807068,,,34.821140289306605,18.4982795715332,12.3564701080322,,,,,,3.0,6.0,3.0,2.0,,,,,72.764,8584.611125262807,
1971,HND,Honduras,,,,35.8371810913086,,,,,,,,3.0,6.0,3.0,2.0,,,,,29.569000000000003,1335.826472301316,
1971,MLI,Mali,,,,40.0517082214355,15.4415702819824,4.841060161590581,,,,,,2.0,6.0,3.0,3.0,,,,,14.697000000000001,341.6268184811462,
1971,AUS,Australia,,,,25.116529464721697,,,,,,,,1.0,6.0,3.0,3.0,,,,,85.6,25027.46138302844,
1971,ZWE,Zimbabwe,,,,,,,,,,,,2.0,7.0,2.0,4.0,,,,,17.855,938.508406161128,
1971,SWE,Sweden,,,,19.9782791137695,,,,,,,,4.0,6.0,3.0,3.0,,,,,81.563,31323.434113103907,
1971,COL,Colombia,,,,38.398399353027294,18.3227100372314,7.64789009094238,,,,,,3.0,5.0,4.0,2.0,,,,,55.574,2491.3816501218516,
1971,SWZ,Swaziland,,,,37.7071189880371,,,,,,,,3.0,7.0,3.0,2.0,,,,,10.458,1333.7636787686477,
1971,BGD,Bangladesh,,,,42.9759407043457,,,,,,,,1.0,5.0,5.0,2.0,,,,,7.901,416.47715434134483,
1971,TTO,Trinidad and Tobago,,,,34.4668617248535,,5.76456022262573,,,,,,2.0,7.0,3.0,2.0,,,,,11.774000000000001,8614.875112240334,
1971,LBR,Liberia,,,,,,,,,,,,2.0,6.0,3.0,3.0,,,,,26.86,1367.3615439540524,
1971,CUB,Cuba,,,,27.059959411621104,12.5121002197266,6.37974977493286,,,,,,1.0,6.0,4.0,3.0,,,,,60.976000000000006,2833.046987747631,
1971,ISR,Israel,,,,,,5.96623992919922,,,,,,4.0,6.0,3.0,3.0,,,,,84.789,12602.659975166478,
1971,TUN,Tunisia,,,,47.470470428466705,27.814180374145497,,,,,,,3.0,6.0,3.0,4.0,,,,,44.305,1688.5558913697323,
1971,URY,Uruguay,,,,28.649839401245103,,,,,,,,3.0,6.0,3.0,3.0,,,,,82.57,4448.114329453332,
1971,CRI,Costa Rica,,,,29.529230117797898,,,,,,,,2.0,6.0,3.0,2.0,,,,,39.445,3409.0571255645314,
